,value,angle,value_100,color,hashtag_names
['callmeifyougetlost'],0.7498956158663883,4.711733115530078,74.98956158663883,#7a0177,#CallMeIfYouGetLost Only
"['callmeifyougetlost',",0.09478079331941545,0.5955252879873763,9.478079331941546,#c51b8a,#CallMeIfYouGetLost
"['tylerthecreator',",0.06610995128740431,0.41538107458737694,6.610995128740431,#f768a1,#TylerTheCreator
"['planether',",0.007515657620041753,0.04722226953203864,0.7515657620041754,#fa9fb5,#PlanetHer
"['cmiygl',",0.0026443980514961724,0.016615242983495076,0.26443980514961724,#fbb4b9,#NeedToKnow
others,0.07905358385525396,0.49670831655922104,7.905358385525396,#feebe2,Others
