,value,angle,value_100,color,hashtag_names
['jordi'],0.5798841059602649,3.6435192944365062,57.98841059602648,#7a0177,#Jordi Only
"['jordi',",0.17177152317880795,1.079272310628944,17.177152317880797,#c51b8a,#Jordi
"['maroon5',",0.11506622516556292,0.7229824153128829,11.506622516556291,#f768a1,#Maroon5
"['askm5',",0.0451158940397351,0.28347152255073466,4.5115894039735105,#fa9fb5,#Askm
"['lost',",0.020281456953642384,0.12743215233932106,2.0281456953642385,#fbb4b9,#Lost
others,0.06788079470198671,0.4265076119111968,6.788079470198671,#feebe2,Other
