,value,angle,value_100,color,hashtag_names
['planether'],0.8087856529619384,5.081750131348099,80.87856529619384,#7a0177,#PlanetHer Only
"['planether',",0.08933511399408567,0.5613090756628525,8.933511399408566,#c51b8a,#PlanetHer
"['dojacat',",0.036535342936182394,0.2295583299293887,3.6535342936182396,#f768a1,#Dojacat
"['youright',",0.004674234474864066,0.029369081374778186,0.4674234474864066,#fa9fb5,#YouRight
"['needtoknow',",0.004388056853954021,0.027570974351832582,0.4388056853954021,#fbb4b9,#NeedToKnow
others,0.05628159877897543,0.35362771451263497,5.628159877897543,#feebe2,Others
