,Unnamed: 0,id,date,timezone,place,tweet,language,hashtags,user_id_str,username,day,hour,retweet,nlikes,nreplies,nretweets,geo,retweet_id,text,retweetcount,likecount,replycount,created_at,unique,text_lem,hashtagsLower,hashtagsList,hashtagsCount,textCount,subjectivity,polarity,sentiment,hype_loop
506,916,1404204690628358149,2021-06-13,-700,,@maroon5 @maroon5  Jordi is awesome #JORDI #Maroon5,en,"['jordi', 'maroon5']",1312123213963550720,gusdamm,7,15,False,0,0,0,,,jordi awesome jordi maroon5,0,0,0,2021-06-13 15:31:01,gusdamm@maroon5 @maroon5  Jordi is awesome #JORDI #Maroon5,"[('jordi', 'n'), ('awesome', 'a'), ('jordi', 'n'), ('maroon5', 'n')]","['jordi', 'maroon5']","['jordi',",9,27,1.0,1.0,Positive,POST
507,917,1404204688090750980,2021-06-13,-700,,#JORDI ☝🏼⬆️🧡,und,['jordi'],1279896867472539648,alienationgibi,7,15,False,0,0,0,,,jordi,0,0,0,2021-06-13 15:31:01,alienationgibi#JORDI ☝🏼⬆️🧡,"[('jordi', 'n')]",['jordi'],['jordi'],9,5,0.0,0.0,Neutral,POST
508,918,1404204680608030725,2021-06-13,-700,,🙏🏼🌸🎶 #JORDI,und,['jordi'],24886570,maroon5,7,15,False,378,9,19,,,jordi,19,378,9,2021-06-13 15:30:59,maroon5🙏🏼🌸🎶 #JORDI,"[('jordi', 'n')]",['jordi'],['jordi'],9,5,0.0,0.0,Neutral,POST
509,919,1404204612257730562,2021-06-13,-700,,✨ #JORDI @maroon5,und,['jordi'],48118441,Meiry_Alves,7,15,False,0,1,0,,,jordi,0,0,1,2021-06-13 15:30:43,Meiry_Alves✨ #JORDI @maroon5,"[('jordi', 'n')]",['jordi'],['jordi'],9,5,0.0,0.0,Neutral,POST
510,920,1404204587171594240,2021-06-13,-700,,I have had Convince Me Otherwise stuck in my head all weekend 😍 great job guys @maroon5! My favourite band for 14 years now! #JORDI,en,['jordi'],207816385,falloevine,7,15,False,1,0,0,,,i convince otherwise stuck head weekend great job guy favourite band 14 year jordi,0,1,0,2021-06-13 15:30:37,falloevineI have had Convince Me Otherwise stuck in my head all weekend 😍 great job guys @maroon5! My favourite band for 14 years now! #JORDI,"[('i', 'a'), ('convince', 'n'), ('otherwise', 'r'), ('stuck', 'a'), ('head', 'n'), ('weekend', 'n'), ('great', 'a'), ('job', 'n'), ('guys', 'n'), ('favourite', 'a'), ('band', 'v'), ('14', 'n'), ('years', 'n'), ('jordi', 'n')]",['jordi'],['jordi'],9,82,0.75,0.8,Positive,POST
511,921,1404204400189583367,2021-06-13,-700,,@maroon5 #jordi,und,['jordi'],3007320786,mayasauras1,7,15,False,0,1,0,,,jordi,0,0,1,2021-06-13 15:29:52,mayasauras1@maroon5 #jordi,"[('jordi', 'n')]",['jordi'],['jordi'],9,5,0.0,0.0,Neutral,POST
512,922,1404204285425029127,2021-06-13,-700,,come on guys won't you say anything about it? 🥺💗💗 #JORDI @maroon5,en,['jordi'],454370327,setthcohsn,7,15,False,2,0,1,,,come guy wont say anything jordi,1,2,0,2021-06-13 15:29:25,setthcohsncome on guys won't you say anything about it? 🥺💗💗 #JORDI @maroon5,"[('come', 'v'), ('guys', 'n'), ('wont', 'a'), ('say', 'v'), ('anything', 'n'), ('jordi', 'n')]",['jordi'],['jordi'],9,32,0.0,0.0,Neutral,POST
513,923,1404204147742707713,2021-06-13,-700,,#JORDI,und,['jordi'],24886570,maroon5,7,15,False,365,3,23,,,jordi,23,365,3,2021-06-13 15:28:52,maroon5#JORDI,"[('jordi', 'n')]",['jordi'],['jordi'],9,5,0.0,0.0,Neutral,POST
514,924,1404203445771440135,2021-06-13,-700,,🆕| The Best New Songs of the Week 👉  https://t.co/ZTvYJnyDKn  #Migos #Culture3 #Clairo #Blouse #QueRicoFuera #PalomaMami #RickyMartin #Maroon5 #JORDI #NewMusicFriday #YouTube #YouTuber  https://t.co/jMW6OOT4Ku,en,"['migos', 'culture3', 'clairo', 'blouse', 'quericofuera', 'palomamami', 'rickymartin', 'maroon5', 'jordi', 'newmusicfriday', 'youtube', 'youtuber']",1359089368728801282,_inmusic_,7,15,False,5,0,0,,,best new song week migos culture3 clairo blouse quericofuera palomamami rickymartin maroon5 jordi newmusicfriday youtube youtuber,0,5,0,2021-06-13 15:26:04,_inmusic_🆕| The Best New Songs of the Week 👉  https://t.co/ZTvYJnyDKn  #Migos #Culture3 #Clairo #Blouse #QueRicoFuera #PalomaMami #RickyMartin #Maroon5 #JORDI #NewMusicFriday #YouTube #YouTuber  https://t.co/jMW6OOT4Ku,"[('best', 'a'), ('new', 'a'), ('songs', 'n'), ('week', 'n'), ('migos', 'v'), ('culture3', 'n'), ('clairo', 'n'), ('blouse', 'n'), ('quericofuera', 'n'), ('palomamami', 'n'), ('rickymartin', 'n'), ('maroon5', 'n'), ('jordi', 'n'), ('newmusicfriday', 'a'), ('youtube', 'n'), ('youtuber', 'n')]","['migos', 'culture3', 'clairo', 'blouse', 'quericofuera', 'palomamami', 'rickymartin', 'maroon5', 'jordi', 'newmusicfriday', 'youtube', 'youtuber']","['migos',",9,129,0.37727272727272726,0.5681818181818181,Positive,POST
515,925,1404203346240495616,2021-06-13,-700,,Already streamed #JORDI over 900 times 😭 @maroon5 I think I have a problem 😂,en,['jordi'],1400885814,iamkentmatthew,7,15,False,3,0,0,,,already stream jordi 900 time think problem,0,3,0,2021-06-13 15:25:41,iamkentmatthewAlready streamed #JORDI over 900 times 😭 @maroon5 I think I have a problem 😂,"[('already', 'r'), ('streamed', 'v'), ('jordi', 'n'), ('900', 'n'), ('times', 'n'), ('think', 'v'), ('problem', 'n')]",['jordi'],['jordi'],9,43,0.0,0.0,Neutral,POST
516,926,1404200153838391298,2021-06-13,-700,,"hey guys, look at what we did with a lot of love for the new album. please! we love you. 🌺❤️ #JORDI @maroon5 @adamlevine @PJMORTON @samfarrar @jamesbvalentine @JRCarmichael",en,['jordi'],170802650,worldmarooner,7,15,False,3,0,2,,,hey guy look lot love new album please love jordi,2,3,0,2021-06-13 15:13:00,"worldmaroonerhey guys, look at what we did with a lot of love for the new album. please! we love you. 🌺❤️ #JORDI @maroon5 @adamlevine @PJMORTON @samfarrar @jamesbvalentine @JRCarmichael","[('hey', 'n'), ('guys', 'n'), ('look', 'v'), ('lot', 'r'), ('love', 'v'), ('new', 'a'), ('album', 'a'), ('please', 'n'), ('love', 'v'), ('jordi', 'n')]",['jordi'],['jordi'],9,49,0.5515151515151514,0.37878787878787873,Positive,POST
517,927,1404199360867491847,2021-06-13,-700,,Che bella ❤️ è già mia #jordi,it,['jordi'],1321043018414260224,ro_elektra,7,15,False,0,0,0,,,che bella è già mia jordi,0,0,0,2021-06-13 15:09:51,ro_elektraChe bella ❤️ è già mia #jordi,"[('che', 'n'), ('bella', 'n'), ('è', 'n'), ('già', 'n'), ('mia', 'n'), ('jordi', 'n')]",['jordi'],['jordi'],9,25,0.0,0.0,Neutral,POST
518,928,1404198428889030660,2021-06-13,-700,,Maroon 5's #JORDI: Auto-Tuned vocals and a long parade of big name guest vocalists make this sound like a band without clear identity ⭐⭐  https://t.co/Gwwqx97RMe,en,['jordi'],1168472395,EveningStandard,7,15,False,0,0,0,,,maroon 5 jordi autotuned vocal long parade big name guest vocalist make sound like band without clear identity,0,0,0,2021-06-13 15:06:08,EveningStandardMaroon 5's #JORDI: Auto-Tuned vocals and a long parade of big name guest vocalists make this sound like a band without clear identity ⭐⭐  https://t.co/Gwwqx97RMe,"[('maroon', 'n'), ('5s', 'n'), ('jordi', 'n'), ('autotuned', 'v'), ('vocals', 'n'), ('long', 'r'), ('parade', 'v'), ('big', 'a'), ('name', 'n'), ('guest', 'a'), ('vocalists', 'n'), ('make', 'v'), ('sound', 'n'), ('like', 'n'), ('band', 'n'), ('without', 'n'), ('clear', 'a'), ('identity', 'n')]",['jordi'],['jordi'],9,110,0.30333333333333334,0.040000000000000015,Positive,POST
519,929,1404197240542056451,2021-06-13,-700,,"@maroon5 okay, now.. look at this! please.. we love you guys! 🌺❤️ #JORDI  https://t.co/tdZoTx9nyN",en,['jordi'],170802650,worldmarooner,7,15,False,2,0,0,,,okay look please love guy jordi,0,2,0,2021-06-13 15:01:25,"worldmarooner@maroon5 okay, now.. look at this! please.. we love you guys! 🌺❤️ #JORDI  https://t.co/tdZoTx9nyN","[('okay', 'a'), ('look', 'n'), ('please', 'v'), ('love', 'v'), ('guys', 'n'), ('jordi', 'n')]",['jordi'],['jordi'],9,31,0.55,0.5,Positive,POST
520,930,1404193543921438722,2021-06-13,-700,,Limited edition JORDI T-shirts only available until tomorrow at 9p PT. Get yours now. #JORDI  https://t.co/3uQmntyA3x  https://t.co/ghZdWOLlG4,en,['jordi'],24886570,maroon5,7,14,False,650,25,65,,,limited edition jordi tshirts available tomorrow 9p pt get jordi,65,650,25,2021-06-13 14:46:44,maroon5Limited edition JORDI T-shirts only available until tomorrow at 9p PT. Get yours now. #JORDI  https://t.co/3uQmntyA3x  https://t.co/ghZdWOLlG4,"[('limited', 'a'), ('edition', 'n'), ('jordi', 'n'), ('tshirts', 'n'), ('available', 'a'), ('tomorrow', 'n'), ('9p', 'n'), ('pt', 'n'), ('get', 'n'), ('jordi', 'n')]",['jordi'],['jordi'],9,64,0.27142857142857146,0.1642857142857143,Positive,POST
